Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
tsA,,,2018-08-28 18:00:11,2018-08-28 18:00:13,1.787s,PASSED
,,,,,,
Test Cases/ts1,,,2018-08-28 18:00:11,2018-08-28 18:00:13,1.290s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/12cTest)),,,2018-08-28 18:00:12,2018-08-28 18:00:12,0.726s,PASSED
verifyResponseStatusCode,,,2018-08-28 18:00:12,2018-08-28 18:00:12,0.012s,PASSED
containsString,,,2018-08-28 18:00:12,2018-08-28 18:00:13,0.201s,PASSED
