Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
tsA,,,2018-08-28 17:51:41,2018-08-28 17:51:42,1.561s,PASSED
,,,,,,
Test Cases/ts1,,,2018-08-28 17:51:41,2018-08-28 17:51:42,1.204s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/12cTest)),,,2018-08-28 17:51:41,2018-08-28 17:51:42,0.556s,PASSED
verifyResponseStatusCode,,,2018-08-28 17:51:42,2018-08-28 17:51:42,0.041s,PASSED
containsString,,,2018-08-28 17:51:42,2018-08-28 17:51:42,0.253s,PASSED
