Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
tsA,,,2018-08-28 15:01:02,2018-08-28 15:01:02,0.696s,ERROR
,,,,,,
Test Cases/ts1,,,2018-08-28 15:01:02,2018-08-28 15:01:02,0.342s,ERROR
sendRequest,,,2018-08-28 15:01:02,2018-08-28 15:01:02,0.002s,PASSED
