Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
tsA,,,2018-08-28 15:00:03,2018-08-28 15:00:04,0.727s,ERROR
,,,,,,
Test Cases/ts1,,,2018-08-28 15:00:03,2018-08-28 15:00:04,0.368s,ERROR
sendRequest,,,2018-08-28 15:00:04,2018-08-28 15:00:04,0.003s,PASSED
